german,english1,english2
Es ist ein schöner Tag für einen Spaziergang !,It 's a nice day for a walk .,It 's a beautiful day for a walk !
Was soll ich denn damit anfangen ?,What would I do with that ?,What am I supposed to do with it ?
Tom hat eine Zweitarbeit .,Tom has a second job .,Tom has a second job .
Er spricht neben Englisch zwei Sprachen .,He speaks two languages besides English .,He speaks two languages in addition to English .
Wie denkst du über all das ?,What do you think of all this ?,What do you think of all this ?
"Es ist einsam im Sattel , seit das Pferd gestorben ist .",It 's lonely in the saddle since the horse died .,It 's been lonely in the saddle since the horse died .
Du könntest mir helfen .,You could help me .,You could help me .
Ich gehe an den Strand . Was ist mit dir ?,I 'm going to the beach . What about you ?,I 'm going to the beach .
Gestern war es heiß .,Yesterday was hot .,It was hot yesterday .
Tom tut das nie allein .,Tom never does that by himself .,Tom never does it alone .
"Ich glaube , Beethoven ist der größte Komponist , der je gelebt hat .",I think Beethoven is the greatest composer who ever lived .,I think Beethoven is the greatest composer who has ever lived .
Es wurde allmählich seine Gewohnheit .,It became his habit by degrees .,It became his habit .
Tom wurden die Weisheitszähne gezogen .,Tom had his wisdom teeth taken out .,Tom was drawn the wisdom teeth .
Hast du sonst noch etwas zu sagen ?,Do you have anything else to say ?,Do you have anything else to say ?
Das ist das kälteste Zimmer im Haus .,This room is the coldest in the house .,This is the coldest room in the house .
"Ich dachte , dass es Tom nichts ausmachen würde , auf Maria zu warten .",I thought Tom wouldn 't mind waiting for Mary .,I thought Tom wouldn 't mind waiting for Maria .
Sie sind gekommen .,They have come .,They came .
Sie fällt vor dem Rest auf .,She stands out from the rest .,It appears before the rest .
Warum entschuldigst du dich ?,Why are you apologizing ?,Why are you apologizing ?
Tu mir den Gefallen .,Humor me .,Do me a favor .
Tom trinkt nie Bier .,Tom never drinks beer .,Tom never drinks beer .
Für koscheres Fleisch gehe ich zum Katzuff meines Vertrauens .,For kosher meat I go to the butcher of my choice .,"For kosher meat , I go to the catfish of my trust ."
"Hör mit dem , was du tust , auf .",Stop what you 're doing .,Stop what you do .
Schenke dem keine Beachtung .,Pay no attention to it .,Don 't pay any attention to it .
Er ist größer als ich .,He 's taller than me .,He 's bigger than me .
Siehst du ein Boot am Horizont ?,Do you see a boat on the horizon ?,You see a boat on the horizon ?
Er war beschäftigt .,He was busy .,He was busy .
"Tom hat mehr Geld , als er ausgeben kann .",Tom has more money than he can spend .,Tom has more money than he can spend .
Dies ist eine unabänderliche Wahrheit .,This is an immutable truth .,This is an unchanging truth .
"Ich habe Tom überredet , dich nicht zu verklagen .",I convinced Tom not to sue you .,I convinced Tom not to sue you .
"Ich denke , also bin ich .",I think therefore I am .,I think so I am .
Sie haben ihr Baby Tom genannt .,They named their baby Tom .,They called her baby Tom .
Der Apfel ist gefallen !,The apple fell !,The apple has fallen !
"Ich weiß , dass du Tom sehen willst .",I know you want to see Tom .,I know you want to see Tom .
Ich interessiere mich für ' s Schwimmen .,I am interested in swimming .,I 'm interested in swimming .
Bist du in letzter Zeit irgendwohin verreist ?,Have you traveled anywhere recently ?,Have you been going anywhere lately ?
Ich kann diese Tür nicht öffnen .,I can 't get the door open .,I can 't open this door .
Du musst dein Zimmer sauber machen .,You must clean your room .,You have to clean your room .
Er erinnert sich nicht mehr an mich .,He doesn 't remember me anymore .,He doesn 't remember me .
Er kann mich nicht aufhalten .,He cannot stop me .,He can 't stop me .
Schaust du abends oft nach den Sternen ?,Do you often look at the stars at night ?,Do you often look for the stars in the evening ?
Katalonien will über seine Unabhängigkeit von Spanien abstimmen .,Catalonia wants to vote about its independence from Spain .,Catalonia wants to vote on its independence from Spain .
Unser Experiment letzte Woche ging schief .,Our experiment went wrong last week .,Our experiment last week went wrong .
Die Bananen schälen und mit einer Gabel zerdrücken .,Peel the bananas and mash them with a fork .,Peel the bananas and crush with a fork .
Ich liebte sie wirklich .,I truly loved her .,I really loved her .
Habe ich da einen Nerv getroffen ?,Did I touch a nerve ?,Did I hit a nerve ?
Er ist stolz auf seine Familie .,He 's proud of his family .,He 's proud of his family .
Die Stadtmauern sind ja so schön !,The city walls are so beautiful !,The city walls are so beautiful !
Der Journalist wurde von Terroristen entführt .,The journalist was kidnapped by terrorists .,The journalist was kidnapped by terrorists .
Der Fernseher geht nicht mehr .,The television isn 't working .,The TV 's gone .
Er wird in unseren Herzen immer weiterleben .,He will live forever in our hearts .,He will continue to live in our hearts .
Tom ist sich des Problems voll bewusst .,Tom is fully aware of the problem .,Tom is fully aware of the problem .
"Da wurde die kleine Meerjungfrau traurig , denn sie wusste , dass sie selbst viel schöner gesungen hatte .","That made the little mermaid very sad , for she knew that she used to sing far better herself .","Then the little mermaid became sad , because she knew that she had sung much more beautiful ."
Der Glaube ist der Tod der Intelligenz .,Belief is the death of intelligence .,Faith is the death of intelligence .
"Ist es dir peinlich , mit mir gesehen zu werden ?",Are you embarrassed to be seen with me ?,Are you embarrassed to be seen with me ?
Gestern war Sonnabend .,Yesterday was Saturday .,Last night was Saturday .
Da ist ein Ungeheuer unter meinem Bett .,There is a monster under my bed .,There 's a monster under my bed .
Lass den Koffer dort !,Leave the suitcase there !,Leave the case there !
Deswegen bin ich nicht hergekommen .,That 's not what I came here for .,That 's not why I came here .
"Die Menge jubelte , als er ein Tor schoss .",The crowd went crazy when he got a goal .,The crowd cheated when he shot a gate .
Tom brachte Maria zum Lachen .,Tom got Mary to laugh .,Tom made Maria laugh .
"Ich frage mich , ob sie ein verspätetes Geburtstagsgeschenk annehmen würde .",I wonder if she 'll accept a belated birthday present .,I wonder if she would accept a late birthday present .
Maria trägt für gewöhnlich keinen Schmuck .,Mary doesn 't usually wear jewelry .,Maria usually doesn 't wear jewelry .
Tom mochte Pferde .,Tom liked horses .,Tom liked horses .
Er kann seine Augen nicht von ihr abwenden .,He can 't take his eyes off her .,He can 't turn his eyes away from her .
"Der Junge ist krank , auch wenn er nicht danach aussieht .","The boy is sick , though he doesn 't appear so .","The boy 's sick , even if he doesn 't look like it ."
"Tom fing an , etwas zu sagen , aber überlegte es sich anders .","Tom started to say something , but changed his mind .","Tom started saying something , but he changed his mind ."
"Der Elefant geht weiter , wenn die Hunde bellen .",The elephant walks on as the dogs bark .,The elephant goes on when the dogs bark .
Tom hat das absichtlich gemacht .,Tom deliberately did that .,Tom did this on purpose .
Hast du den Artikel gelesen ?,Did you read the article ?,Did you read the article ?
"Maria hat mir gesagt , sie brauche Geld .",Mary told me that she needed some money .,Maria told me she needed money .
Es war eine wirklich große Parade .,It was a parade with a capital P .,It was a really big parade .
Überall backt man das Brot im Ofen .,Bread is baked in ovens everywhere .,You bake the bread in the oven all over the place .
Tom wollte die Bauerntochter nicht heiraten .,Tom didn 't want to marry the farmer 's daughter .,Tom didn 't want to marry the farmer 's daughter .
Ich fühlte mich so unwohl .,I felt so uncomfortable .,I was so uncomfortable .
Ich will mein Leben zurück .,I want my life back .,I want my life back .
Der Prinz verirrte sich im Wald .,The prince was lost in the woods .,The prince was lost in the forest .
Ich habe dem nichts mehr hinzuzufügen .,I have nothing else to add to that .,I have nothing more to add to this .
"Ich dachte , wir hätten vereinbart , dass du mehr lernen würdest .",I thought we had agreed that you would study harder .,I thought we agreed that you would learn more .
Ändere nichts an einer Siegermannschaft !,Never change a winning team .,Don 't change a winning team !
Auf dem Fußboden war eine halb gegessene Pizza .,There was a half @-@ eaten pizza on the floor .,There was a half @-@ forgotten pizza on the floor .
Niemand kümmert sich um mich .,Nobody cares for me .,No one 's taking care of me .
Tom und Maria haben sich schließlich ineinander verliebt .,Tom and Mary ended up falling in love .,Tom and Maria finally fell in love with each other .
Ich werde dich vermissen .,I will miss you .,I 'm gonna miss you .
Tom geht besonders gern in italienische Restaurants .,Tom especially likes going to Italian restaurants .,Tom likes to go to Italian restaurants .
Ihr baut Lastwagen zusammen .,You assemble trucks .,You 're building trucks .
"Es besteht kein Grund , sich aufzuregen .",There 's no reason to get angry .,There 's no reason to get upset .
Bitte eine Tasse Kaffee .,"A cup of coffee , please .","A cup of coffee , please ."
Auf diese Weise kommt man zu Ergebnissen .,This is how you get results .,This is how you get results .
In dem Laden gibt es allen möglichen Schnickschnack .,The shop sells all sorts of bric @-@ à @-@ brac .,There 's all kinds of snickshit in this place .
"Ich lege das Fleisch , das wir gerade gekauft haben , in den Tiefkühlschrank .",I put the meat we just bought in the freezer .,I 'll put the meat we just bought in the freezer .
Die neue Bank ist in der Bäckerstraße .,The new bank is on Baker Street .,The new bank is on the baker 's street .
"Mein Freund lud mich ein , zum Abendessen auszugehen .",My friend invited me to go out to dinner .,My friend invited me to go out for dinner .
Demetrius verleumdet mich !,Demetrius is slandering me !,Demetrius slander me !
Tom gab sich die Schuld an den Geschehnissen .,Tom blamed himself for what happened .,Tom blamed himself for what happened .
Lass uns das noch mal machen !,Let 's do that again .,Let 's do this again !
Der Lehrer ist Chinese .,The teacher is Chinese .,The teacher is Chinese .
Könntest du heute Nachmittag rüberkommen und mir behilflich sein ?,Could you come over and help me this afternoon ?,Could you come over this afternoon and help me ?
Du scheinst ein nettes Mädchen zu sein .,You seem like a nice girl .,You seem like a nice girl .
Erinnere dich in Zeiten des Überflusses an Zeiten der Hungersnot !,"In times of abundance , remember the times of famine .","Remember , in times of abundance , times of famine !"
Entschuldigt ! Ich habe euch nicht gehört .,"I 'm sorry , I didn 't hear you .","I 'm sorry , I didn 't hear you ."
Der Polizist bedeutete dem Wagen mit einer Taschenlampe anzuhalten .,The policeman signaled the car to stop with a flashlight .,The cop meant to stop the car with a flashlight .
"Ich gäbe mein eigenes Leben hin , wenn es das ihre retten würde .",I would give up my own life if it would save hers .,I would give my own life if it saved their own .
Mit dem Motor des Wagens ist etwas nicht in Ordnung .,Something is wrong with the engine of this car .,There 's something wrong with the car 's engine .
"Ich denke nicht , dass Tom selbstsüchtig ist .",I don 't think Tom is selfish .,I don 't think Tom is selfish .
Vor kurzem habe ich einen alten Freund getroffen .,I recently met an old friend .,I met an old friend recently .
Das schaffe ich nie .,I 'll never be able to do that .,I can never do it .
China produziert noch zu viele Treibhausgase .,China still produces too many GHG .,China is still producing too many greenhouse gases .
Alle Jungen tanzten .,All the boys were dancing .,All the boys danced .
"Tu es , solange du noch kannst !",Do it while you can .,Do it while you can !
In Venedig gibt es viele Tauben .,There are many pigeons in Venice .,There are many pigeons in Venice .
In einer öffentlichen Dusche muss man immer Sandalen tragen .,Always wear sandals in a public shower .,In a public shower you always have to wear sandals .
Ich fliege nicht .,I don 't fly .,I 'm not flying .
"Tom ist jetzt dicker als das letzte Mal , als ich ihn sah .",Tom is fatter now than when I last saw him .,Tom 's thicker than the last time I saw him .
"Ich glaube , er ist Marys älterer Bruder .",I think he 's Mary 's older brother .,I think he 's Mary 's older brother .
Er hat seinen Schirm im Wagen liegenlassen .,He forgot his umbrella in his car .,He left his umbrella in the car .
Du musst im Voraus bezahlen .,You must pay in advance .,You have to pay in advance .
Sollte ich mit dem Bus fahren ?,Should I take the bus ?,Should I take the bus ?
Was macht er zurzeit ?,What is he currently doing ?,What 's he doing now ?
Das ist mein letztes Angebot .,This is my final offer .,This is my last offer .
Wir müssen Sie ins Krankenhaus bringen .,We need to get you to the hospital .,We have to take you to the hospital .
Zündet bitte eine Kerze an .,Please light a candle .,Please light a candle .
"Ich hätte nicht gedacht , euch so bald wiederzusehen .",I didn 't expect to see you again so soon .,I didn 't think I 'd see you again so soon .
Beherrscht euch .,Control yourselves .,Control yourselves .
Die Schränke quollen mit angesammelten Überbleibseln von etlichen Jahren über .,The cupboards were overflowing with the accumulated debris of several years .,The cabinets are filled with collected remnants of many years .
Ich lebe gerne mit dir .,I like living with you .,I like living with you .
Zahlreichen berühmten Personen wurden intime Bilder von den Telefonen gestohlen .,Intimate photos were stolen from many celebrities ' phones .,Numerous famous people were stolen intimate pictures from the phones .
Elefanten sind riesige Tiere .,The elephant is an enormous creature .,Elephants are huge animals .
Ich mache mir nichts mehr aus Tom .,I no longer appreciate Tom .,I don 't care about Tom anymore .
"Ich denke , mein Nachbar ist möglicherweise verstorben .",I think my neighbour may have died .,I think my neighbor may have died .
"Ich hoffe , es hat euch niemand gesehen .",I hope no one saw you .,I hope no one has seen it .
Tom scheint immer zu lächeln .,Tom always seems to be smiling .,Tom always seems to smile .
Nimmst du ihn etwa in Schutz ?,Are you defending him ?,Are you taking him for protection ?
Tom hat das Buch geschrieben .,Tom wrote that book .,Tom wrote the book .
"Ich habe es nicht geschafft , mit meinen Hausaufgaben fertig zu werden .",I was unable to finish my homework .,I didn 't manage to do my homework .
Du hast viele Feinde .,You have many enemies .,You have many enemies .
Das Buch ist rosafarben .,The book is pink .,The book is pink .
"Tom ist , nachdem er drei Jahre in Chicago lebte , endlich nach Boston zurückgekehrt .",Tom has finally returned to Boston after living in Chicago for three years .,"After living in Chicago for three years , Tom finally returned to Boston ."
Der Verräter ist Tom .,It 's Tom who 's the traitor .,The traitor is Tom .
In jenem Jahr herrschte ein großer Reismangel .,There was a great lack of rice that year .,That year there was a great lack of rice .
Elefanten haben zwei Ohren .,Elephants have two ears .,Elephants have two ears .
Tom ist schläfrig .,Tom is sleepy .,Tom 's sleepy .
Frauen werden zu einem geringeren Lohn beschäftigt als Männer .,Women are employed at a lower salary than men .,Women are employed at a lower wage than men .
Hallo Mimi ! Wie geht es ?,"Hey , Mimi ! How 's it going ?","Hello , Mimi , how are you ?"
Wir müssen eine neue Waschmaschine kaufen .,We need to buy a new washing machine .,We have to buy a new washing machine .
"Da das Hotel für die Nacht völlig ausgebucht war , mussten einige spät eintreffende Gäste abgewiesen werden .","Fully booked for the night , the hotel had to turn away some late guests .","Since the hotel was fully booked for the night , some late guests had to be dismissed ."
Wir alle gehen .,We 're all going .,We all go .
Wie kam es dazu ?,How come ?,How did it happen ?
Ich habe es Ihnen immer wieder gesagt .,I told you again and again .,I 've told you over and over again .
"Einfach ausgedrückt , ein Mensch ist eine Ansammlung von Zellen .","Simply put , a human being is an aggregate of many cells .","Simply put , a human is a collection of cells ."
Ich kaufte ein neues Auto .,I bought a new car .,I bought a new car .
"Sie versuchte , ihn in Verruf zu bringen .",She tried to discredit him .,She tried to discredit him .
"Ihr wart sehr beschäftigt , oder ?","You were very busy , weren 't you ?","You were very busy , weren 't you ?"
Was möchtest du heute machen ?,What would you like to do today ?,What do you want to do today ?
Es bringt nichts es noch einmal zu versuchen .,It is no use trying again .,There 's nothing to try again .
L.A. mag ich lieber .,I like L.A. better .,I like L.A. better .
Fräulein Swan ist unsere Englischlehrerin .,Ms. Swan is our English teacher .,Miss Swan is our English teacher .
Du könntest sie vielleicht im Auto gelassen haben .,You might have left it in the car .,You might have left her in the car .
Tom macht mich immer wütend .,Tom is always making me angry .,Tom always makes me angry .
"Du hast die Wände gestrichen , oder ?","You 've painted the walls , haven 't you ?","You painted the walls , didn 't you ?"
"Ich glaubte , er würde sein Versprechen halten .",I believed that he would keep his promise .,I thought he would keep his promise .
Ich bin mitten in einer Sitzung .,I 'm in the middle of a meeting .,I 'm in the middle of a meeting .
Er schämt sich für seinen Misserfolg .,He is ashamed of his failure .,He 's ashamed of his failure .
"Ich freue mich , dir helfen zu können .",I 'm happy to be able to help you .,I 'm glad to be able to help you .
Zu viel Essen ist schlecht für die Gesundheit .,Eating too much is bad for the health .,Too much food is bad for health .
"Schönen Tag , Tom .","Have a nice day , Tom .","Have a good day , Tom ."
Der Gouverneur hat den Notstand ausgerufen .,The governor has declared a state of emergency .,The governor has declared the state of emergency .
Tom hat das Wort mit f fallenlassen .,Tom used the F word .,Tom dropped the word with f .
"Es ist an der Zeit , ins Bett zu gehen .",It 's almost time to go to bed .,It 's time to go to bed .
Würdest du mit mir die Plätze wechseln ?,Will you switch seats with me ?,Would you change places with me ?
Klingonen haben eine zerfurchte Stirn .,Klingons have ridged foreheads .,Klingons have a furious forehead .
Niemand hat geantwortet .,No one answered .,No one answered .
Der Barbier hat deine Haare sehr kurz geschnitten .,The barber has cut your hair very short .,The barber cut your hair very short .
Er hat diese alte Münze zufällig in einem Antiquitätengeschäft gefunden .,He came across this old coin in an antique shop .,He happened to find this old coin in an antique store .
Hast du noch Familie in Boston ?,Do you still have family in Boston ?,Do you still have a family in Boston ?
Das Mädchen hat sich mit dem Geld ihres Arbeitgebers davon gemacht .,The girl made off with her employer 's money .,The girl made it with her employer 's money .
Ich bin schon seit vier Tagen allein zu Haus .,I have been home alone for four days .,I 've been home alone for four days .
"Es sieht so aus , als ob es kaputt it .",It appears to be broken .,It looks like it 's broken .
Wären Sie lieber blind oder taub ?,Would you rather be blind or be deaf ?,Would you rather be blind or deaf ?
Ein hübsches Mädchen lebte in dem Dorf .,There lived a pretty girl in the village .,A pretty girl lived in the village .
"Seitdem wandelte sich die EU zu einem riesigen Binnenmarkt , mit einer gemeinsamen Währung , dem Euro . Das , was als rein wirtschaftlicher Zusammenschluss ins Leben trat , wurde zu einer Organisation , die in allen Bereichen tätig ist , von der Entwicklungshilfe bis hin zur Umweltpolitik .","Since then , the EU has become an enormous domestic market , with a single currency , the euro . What came into being as a purely economic union became an organization that is active in all areas , from development aid to environmental policy .","Since then , the EU has turned into a huge single market , with a single currency , the euro , and what has become a purely economic union has become an organisation that is active in all areas , from development aid to environmental policy ."
"Weißt du , wie Tom an die Narbe an seinem Kinn gekommen ist ?",Do you know how Tom got that scar on his chin ?,Do you know how Tom got the scar on his chin ?
Gehen Sie spazieren !,Go take a walk .,Go for a walk !
Sie wird es verstehen .,She 'll understand .,She 'll understand .
Ich esse nur von mir selbst angebautes Gemüse .,I only eat vegetables that I grow myself .,I only eat vegetables grown by myself .
"Tom war dreizehn , als er starb .",Tom was thirteen when he died .,Tom was 13 when he died .
Sie brauchen nicht unmittelbar fortzugehen .,You don 't need to leave right now .,You don 't have to leave immediately .
"Ich frage mich , was Tom darüber denken würde .",I wonder what Tom would think about this .,I wonder what Tom would think about it .
Mir ist momentan nicht nach Weggehen .,I don 't feel like going out these days .,I don 't feel like leaving right now .
Die italienischen Autofahrer sind verrückt .,Italian drivers are crazy .,The Italian drivers are crazy .
Streng dich nicht an .,Don 't exert yourself .,Don 't try .
""" Ihr macht ein Spiel ? Kann ich mitmachen ? "" - "" Klar "" . - "" Super ! """,""" You 're playing a game ? Can I join ? "" "" Sure . "" "" Okay , cool . """,""" You 're making a game ? Can I join in ? "" "" Sure . "" "" Great ! """
"Tom und Maria sagten Johannes , sie seien müde .",Tom and Mary told John that they were sleepy .,Tom and Mary told John they were tired .
Auf keinen Fall etwas unterschreiben !,Just don 't sign anything .,No way to sign anything !
Man hat mich angeschossen .,I 've been shot .,I was shot .
Sie müssen wach bleiben .,You must stay awake .,You have to stay awake .
"Es ist gefährlich , über die Straße zu gehen , ohne nach links und rechts zu gucken .",It 's dangerous to cross roads without looking both ways .,It 's dangerous to go across the street without looking to the left and right .
"Als ich ihn zuerst erblickte , sah er aus , als wäre er tot .","When I first saw him , he looked as if he were dead .","When I first saw him , he looked like he was dead ."
Schau nach vorne .,Look ahead .,Look forward .
Wie lange sind Sie schon Vegetarier ?,How long have you been a vegetarian ?,How long have you been a vegetarian ?
Ich richte ein Pferd für das Rennen ab .,I am training a horse for the race .,I 'll fix a horse for the race .
Mein Bruder ist gerade in Australien .,My brother is in Australia now .,My brother 's in Australia right now .
Wir können ihn nicht in diesem Zustand lassen .,We can 't leave him like this .,We can 't leave him in this state .
"Es liegt an Ihnen , zu entscheiden , was Sie machen .",It 's up to you to decide what to do .,It 's up to you to decide what you 're doing .
Tom und ich spielen oft zusammen Tennis .,Tom and I often play tennis together .,Tom and I play tennis together a lot .
"Die Stadt ist nicht mehr so betriebsam , wie sie war .",This city is not so busy as it used to be .,The city is no longer as operational as it was .
Haben wir gut abgeschnitten ?,Did we do well ?,Did we cut off well ?
Es taugt zu nichts .,It is good for nothing .,It 's no good .
Ihr Onkel ist ein berühmter Arzt .,Her uncle is a famous doctor .,Your uncle is a famous doctor .
Ich bin Vertreter .,I 'm a salesman .,I 'm a representative .
Musstest du dir ein Schlafzimmer mit deinen Brüdern oder Schwestern teilen ?,Did you have to share a bedroom with your brothers or sisters ?,Did you have to share a bedroom with your brothers or sisters ?
Sie sind schon zwei Jahre verheiratet .,They have been married two years .,You 've been married for two years .
Ich lerne gern alte Sprachen .,I like learning ancient languages .,I like to learn old languages .
Stelle die Bücher in den Bücherschrank !,Put the books in the bookcase .,Put the books in the bookcase !
Tom und Mary sind voneinander abhängig .,Tom and Mary are dependent on each other .,Tom and Mary are dependent on each other .
Tom ist davon begeistert .,Tom is excited about it .,Tom 's excited about it .
Er schwimmt besser als ich .,He swims better than I do .,He 's a better swimmer than I am .
Wir können nicht ewig zusammenleben .,We can 't live together forever .,We can 't live together forever .
"Ihr könnt es tun , wenn es euch gerade passt .",You can do it at your leisure .,You can do it if you just like it .
"Sie überredete ihn , sich auf die Bestechung einzulassen .",She talked him into accepting the bribe .,She convinced him to get involved in the bribe .
Tom band die Zweige zu Bündeln zusammen .,Tom tied the twigs into bundles .,Tom tied the branches together to bundle .
Ich hätte gern Aspirin .,I 'd like some aspirin .,I 'd like some aspirin .
"Wenn Sie so etwas machen , ist es nicht fair ihr gegenüber .","If you do that kind of thing , it 's not fair to her .","If you do that , it 's not fair to her ."
"Hamburger bestehen nicht , wie englische Muttersprachler denken könnten , aus "" Ham "" - Schinken .",Hamburgers aren 't made of ham .,"Hamburger does not consist , as English native speakers might think , of "" Ham "" - ham ."
Tom war großzügig .,Tom was generous .,Tom was generous .
Tom geriet als Teenager oft in Konflikt mit dem Gesetz .,Tom had lots of run @-@ ins with the law when he was a teenager .,"As a teenager , Tom was often in conflict with the law ."
Die Polizei schoss zurück .,The police returned fire .,The police shot back .
Tom ist mein Stiefpapa .,Tom is my stepfather .,Tom is my stepdad .
Im Oktober beginnen die Blätter zu fallen .,Leaves begin to fall in October .,In October the leaves begin to fall .
"Er hofft , sie zu verlocken , das zu tun , was er will .",He hopes to entice her into doing what he wants .,He hopes to lure her to do what he wants .
"Ich glaube , ich gehe nach Hause .",I think I 'll go home .,I think I 'm going home .
"Ich wusste nicht , was gerade geschah .",I didn 't know what was happening .,I didn 't know what just happened .
Frag Tom doch selbst .,Ask Tom yourself .,Why don 't you ask Tom himself ?
Herr Jones wurde in den Vereinigten Staaten geboren .,Mr. Jones was born in the United States .,Mr. Jones was born in the United States .
Seien Sie nicht albern !,Don 't be ridiculous !,Don 't be silly !
"Es ist bisweilen etwas schwer , mit Tom auszukommen .",Tom can be a little difficult to get along with .,It 's sometimes a little hard to get along with Tom .
Tom versucht dich hereinzulegen .,Tom is trying to trick you .,Tom 's trying to lie you down .
Woher kommt dieses Geräusch ?,Where is that sound coming from ?,Where does that sound come from ?
Er hat heute eine witzige Laune .,He was in a funny mood today .,He 's in a funny mood today .
Tom und Maria sind tot .,Tom and Mary are dead .,Tom and Maria are dead .
"Der Diener führte mich zu einem sehr schönen Zimmer , welches im Haus des Ingenieurs gleichzeitig als Wohnzimmer und Büro diente .","The servant led me to a very beautiful room , which served simultaneously as a living room and office in the engineer 's house .","The servant led me to a very beautiful room , which at the same time served as a living room and office in the engineer 's house ."
Ich bin in Ihre Schule gegangen .,I went to your school .,I went to your school .
"Der Lehrer fragte mich , welches Buch ich mag .",The teacher asked me which book I liked .,The teacher asked me what book I like .
Tag für Tag heizten die Boulevardblätter die Öffentlichkeit an mit erschreckenden Details über die Untreue des Präsidenten in seiner Ehe .,Day after day the tabloids titillated the public with lurid details about the president 's marital infidelity .,"Every day , the tabloids heated the public with frightening details of the President 's infidelity in his marriage ."
"Tom ist derjenige , der Maria eingeladen hat .",Tom is the one who invited Mary .,Tom is the one who invited Maria .
Dafür ist Tom bekannt .,That 's what Tom is known for .,Tom is known for that .
"Ich wusste , dass es Tom hier gefallen würde .",I knew Tom would like it here .,I knew Tom would like it here .
Wer möchte alles Polnisch lernen ?,Who wants to learn Polish ?,Who wants to learn Polish ?
Wo in Boston hast du gewohnt ?,Where did you stay in Boston ?,Where did you live in Boston ?
"Tom wusste nicht einmal , wer Mary war .",Tom didn 't even know who Mary was .,Tom didn 't even know who Mary was .
Seine Firma ging Pleite und zu allem Übel hatte er einen Verkehrsunfall .,"His company went bankrupt , and to make matters worse , he met with a traffic accident .",His company went bankrupt and for all evil he had a traffic accident .
Du musst Vertrauen zu dir selbst haben .,You must trust in yourselves .,You must have faith in yourself .
"Es ist besser , Kola zu trinken , obwohl das nicht so gut ist , wie Champagner trinken .","It 's better than drinking cola , though it 's not as good as drinking champagne .","It 's better to drink Kola , even though it 's not as good as drinking champagne ."
Tom fand ein Portemonnaie auf dem Bürgersteig .,Tom found a wallet lying on the sidewalk .,Tom found a wallet on the sidewalk .
